.,English
quest.name,Heirs of Blood - Act 1 - Rellegar's Rest
quest.description,Heirs of Blood - Act 1 - Rellegar's Rest
quest.authors,Mick
Spawn1_Merriod.button1,Continue
Spawn1_GoblinArchers.text,Place a group of Goblin Archers on 6A.
EventIntro1.text,You leave camp before dawn to hunt the small band of goblins that ambushed you the day before. You pick up their trail and follow it into the late afternoon. In a clearing ahead of you, a handful of goblins are engaged in a game that involves lots of running, screaming, and throwing of rocks.  You attempt to sneak forward, but a voice calls down from the ridge to your right.
EventIntro1.button1,Continue
EventIntro2.text,Oh, I know heroes when I see them. "a great, fat goblin calls. "Quick, go warn Lord Merick that we got company, "he says, grabbing a smaller goblin by the scruff of the neck. He tosses the puny creature into the crumbling ruins and locks the door behind him
EventIntro2.button1,Continue
EventIntro3.text,Think you can challenge Splig. King of AII Goblins?" he yells, moving toward the river. "Well, good luck getting in there without the key!" With that, he winds his arm back and heaves the key into the water, but his attempt falls pitifully short. The key plops into the shallows along the banks, and you think you can see it glinting beneath the water. His minions grow quiet and turn toward the fat goblin.\n\n"Oh, forget that. Get 'em'" Splig screams, hefting his club to his shoulder
EventIntro3.button1,Continue
Event1_SetAside.text,Set aside tile 3, 6, 12, 18 and 21
Event1_SetAside.button1,Continue
Event1_PlaceHeroes.text,Place heroes adjacent to the indicated space.
Event1_PlaceHeroes.button1,Continue
Event1_PlaceTiles.button1,Continue
Spawn1_GoblinArchers.button1,Continue
Event1_PlaceSearch2P1.button1,Continue
Event1_PlaceSearch2P1.text,Place 1 search token as shown.
Event1_Objective.text,Objective: Find the key and run for the exit.
Event1_Objective.button1,Start Game
Event1_PlaceObjToken.text,Collect 4 blue and 1 red objective token and place them random and secretly as shown.
Event1_PlaceObjToken.button1,Continue
EventDefeatSplig.button1,Continue
Event1_PlaceTiles.text,Place tiles 3A, 6A, 12A, 18A, 21A, 1 Entrance, 1 Exit, 1 locked door and 1 End cap as shown.
Spawn1_Zombie.button1,Continue
Spawn1_Splig.text,Place Splig on the indicated space.
Spawn1_Splig.button1,Continue
Spawn1_FleshMoulder.text,Place a Flesh Moulder group on 12A.
Spawn1_Merriod.text,Place a Merriod group on 12A.
Spawn1_FleshMoulder.button1,Continue
Spawn1_Zombie.text,Place a Zombie group on 12A.
Event1_PlaceSearch2P2.text,Place 1 search token as shown.
Token1_Search2P1.button1,Search
Event1_PlaceSearch3P.button1,Continue
Event1_PlaceSearch3P.text,Place 1 search token as shown.
Event1_PlaceSearch4P.button1,Continue
Event1_PlaceSearch2P2.button1,Continue
Event1_PlaceSearch4P.text,Place 1 search token as shown.
Door1_Exit.button1,Yes
Door1_Exit.button2,No
Token1_Obj1.text,What color is the token?
Door1_Exit.text,Is the hero carrying the key adjacent to the door?
Token1_Obj1.button1,Blue
Token1_Obj1.button2,Red
Event1_GotTheKey.text,You found the key.
Event1_GotTheKey.button1,Continue
Event1_NotTheKey.text,You found nothing. \nKeep searching.
Event1_NotTheKey.button1,Continue
Token1_Obj2.text,What color is the token?
Token1_Obj2.button1,Blue
Token1_Obj3.text,What color is the token?
Token1_Obj3.button1,Blue
Token1_Obj4.text,What color is the token?
Token1_Obj4.button1,Blue
Token1_Obj5.text,What color is the token?
Token1_Obj5.button1,Blue
Token1_Obj2.button2,Red
Token1_Obj3.button2,Red
Token1_Obj4.button2,Red
Token1_Obj5.button2,Red
EventDefeatSplig.text,Splig falls to one knee, breathing heavily, "You haven't defeated me-"he pauses to catch his breath, "Splig, King of All Goblins. I'll be back!" He pushes the nearest goblin toward you as a distraction, then turns and runs.
EventVictory.text,The goblins are desperate to stop your progress, but they fall quickly before your onslaught. You approach the door with the key and enter the dark ruins.
EventVictory.button1,Continue
EventWhipeTheBoard.text,Get ready for next encounter.
EventWhipeTheBoard.button1,Begin next encounter
EventOverlordWin.text,Goblins appear from every direction to halt your progress. You, clothes become soiled with the creatures' blood and still they come. At last, you hack your way to the door and enter the dank ruins.
EventOverlordWin.button1,Continue
EventNoMorale.text,Defeat!
EventNoMorale.button1,Continue
EventDefeatFatique.button1,Continue
EventDefeatFatique.text,Defeat!
Token1_Search2P1.text,In the high grass you spot a bag.
Token1_Search3P.text,In the mud you glimpse something shiny.
Token1_Search3P.button1,Search
Token1_Search2P2.text,You spot a  small box in the grass.
Token1_Search2P2.button1,Search
Token1_Search4P.text,You spot a buried bag in some wet mud.
Token1_Search4P.button1,Search
EventTakeSearch4P.button1,Continue
EventTakeSearch2P2.text,Draw a search card and discard this token.
EventTakeSearch4P.text,Draw a search card and discard this token.
EventTakeSearch2P2.button1,Continue
EventTakeSearch3P.text,Draw a search card and discard this token.
EventTakeSearch3P.button1,Continue
EventTakeSearch2P1.text,Draw a search card and discard this token.
EventTakeSearch2P1.button1,Continue
Event1_Reinforcement.button1,Continue
Event1_Reinforcement.text,Place 1 Goblin Archer on the entrance, respecting group limits.
